category,datetime,headline,id,image,related,source,summary,url
company,1729866000,"Arthur J. Gallagher Q3 Earnings Match Estimates, Revenues Rise Y/Y",130726607,https://media.zenfs.com/en/zacks.com/9d8e6ae4a2f2f78756262fb38b308001,AJG,Yahoo,"AJG's third-quarter results reflect higher revenues and margin expansion across the Brokerage and Risk Management segments, partially offset by higher expenses.",https://finnhub.io/api/news?id=79debecbfc06fa9fdf7096a9ac94c8bd1171220c80e2bd20c51fad43795973e6
company,1729861200,Arthur J. Gallagher & Co. Acquires Via Financial Group Pty Ltd,130734718,https://media.zenfs.com/en/prnewswire.com/56a82f35140a572abfd8e2789ff95ebf,AJG,Yahoo,"Arthur J. Gallagher & Co. today announced the acquisition of Sydney, New South Wales-based Via Financial Group Pty Ltd. Terms of the transaction were not disclosed.",https://finnhub.io/api/news?id=f1bea6d2a856d6586559a34912387f341dde9008c75223811587ef724dd85ef9
company,1729859698,Q3 2024 Arthur J. Gallagher & Co. Earnings Call,130734719,,AJG,Yahoo,Q3 2024 Arthur J. Gallagher & Co. Earnings Call,https://finnhub.io/api/news?id=9c850df42dcde70f26cd1a0187bc2fbf82b4e06cf04bad96e3d67befac106484
company,1729854240,Arthur J. Gallagher & Co (AJG) Trading Down 2.82% on Oct 25,130728582,,AJG,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c3aa528c578dc45e566258aed6d9a53551f5c34586c4e283b0c2d6198625ef02
company,1729846800,Arthur J. Gallagher & Co. Acquires Redington Ltd,130734720,https://media.zenfs.com/en/prnewswire.com/56a82f35140a572abfd8e2789ff95ebf,AJG,Yahoo,Arthur J. Gallagher & Co. today announced the acquisition of London-based Redington Ltd. Terms of the transaction were not disclosed.,https://finnhub.io/api/news?id=b1acc898b058b2d48d8a1e93310ff76ac5669200b8e85103e481024d644ea15c
company,1729846560,Arthur J Gallagher & Co (AJG) Gets a Sell from Bank of America Securities,130728583,,AJG,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=26ff5500bbbff09b2f25cfc15e46b4b7278fd41f9a8bfc9e9414413c732a7957
company,1729843680,Arthur J. Gallagher acquires Via Financial Group,130728584,,AJG,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=faf41f3a7d59a8ec9e881903e554e9072e7b636748a54678cc9a1529c3e23ec6
company,1729842420,Arthur J Gallagher & Co (AJG) Receives a Buy from Evercore ISI,130728586,,AJG,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=04fcf51d7b1ffd86a8001eb6fe69c63ad98915f07d646929c371c78e8e5e64d5
company,1729840894,Arthur J. Gallagher & Co (AJG) Q3 2024 Earnings Call Highlights: Strong Revenue Growth and ...,130734721,https://media.zenfs.com/en/us.finance.gurufocus/07b0430d2169379d7b83006a7221258c,AJG,Yahoo,"Arthur J. Gallagher & Co (AJG) reports robust financial performance with significant revenue growth and strategic mergers, despite market challenges.",https://finnhub.io/api/news?id=7d2bfdda1000edeed3db10cb90be0be9cfa4e7ba619c503d653af726bbc066d9
company,1729839600,Arthur J Gallagher & Co (AJG) Gets a Buy from RBC Capital,130728587,,AJG,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=3d99b1fe318db426fb3c251a4f06a9f8da6e17c162722e93d095fc7e4f82ba3e
company,1729837320,Wall Street Analysts Are Neutral on Top Financial Picks,130728588,,AJG,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=12456a1a853654be7441970ccda85d7f5e9420a09e50876631300f040ec6199b
company,1729834800,"Analysts’ Opinions Are Mixed on These Financial Stocks: Arthur J Gallagher & Co (AJG), Bread Financial Holdings (BFH) and S&P Global (SPGI)",130728589,,AJG,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=63f5f1cd8615e797f579df985f18de480f729243a4afd73ca848eb528402a56f
company,1729831500,Arthur J. Gallagher buys U.K. investment consulting firm,130728590,,AJG,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c1691b5d3138da589ee1f7b5edb3f6b3801dd2a67bb99149ea5bc43822adcf2c
company,1729829520,"Arthur J. Gallagher acquires Redington, terms undisclosed",130728591,,AJG,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=04c4f97f1de9fbfc1689bf221daeb92136f0fb89f39e2600b61390948a523765
