category,datetime,headline,id,image,related,source,summary,url
company,1729899481,Delta sues cybersecurity firm CrowdStrike over tech outage that canceled flights,130740547,https://s.yimg.com/ny/api/res/1.2/0VwkIEEC8sXvOBtGd.1X3w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/ap_finance_articles_694/0acd0de257da34244c5553e835e1288f,CRWD,Yahoo,"Delta Air Lines sued CrowdStrike on Friday, claiming the cybersecurity company had cut corners and caused a worldwide technology outage that led to thousands of canceled flight in July.  The airline is asking for compensation and punitive damages from the outage, which started with a faulty update sent to several million Microsoft computers.  Delta said the outage crippled its operations for several days, costing more than $500 million in lost revenue and extra expenses.",https://finnhub.io/api/news?id=889344dfbb72950e6a7b32a3d2fa4efcc93aa8c67059f468a6e0bbf29b36b68a
company,1729887523,"CrowdStrike Holdings, Inc. (CRWD) Partners with Omnissa to Enhance Cybersecurity with Real-Time Threat Detection for Digital Work Environments",130756850,https://s.yimg.com/ny/api/res/1.2/BuFcTYdbLMYB15RjLAR20w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/f19224defcc7729b058ac2b2e8bb6d1b,CRWD,Yahoo,"We recently compiled a list of the 20 AI News Investors Should Not Miss. In this article, we are going to take a look at where CrowdStrike Holdings, Inc. (NASDAQ:CRWD) stands against the other AI stocks you should not miss. 2024 has been a big year for AI breakthroughs, and the momentum shows no signs of […]",https://finnhub.io/api/news?id=99b66b3f1975f9f992845c8275ade3ed6256988f83b56a68236ef0b467b92128
company,1729882417,CrowdStrike Says Bloomberg Report on Software Order Received from Carahsoft Is Misleading,130756851,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,CRWD,Yahoo,CrowdStrike Says Bloomberg Report on Software Order Received from Carahsoft Is Misleading,https://finnhub.io/api/news?id=6e12be08209faa8de279b993576e7c8998b938298c33c1421a137d5512e811bd
company,1729880555,Delta sues CrowdStrike over software update that prompted mass flight disruptions,130737498,,CRWD,Finnhub,"Delta Air Lines on Friday sued CrowdStrike in a Georgia state court after a global outage in July caused mass flight cancellations, disrupted travel plans of 1.3 million customers and cost the carrier...",https://finnhub.io/api/news?id=2169586e570a9eb087516528807cf2470cf01cfa3160a3fe2e6262464acf835d
company,1729879301,"CrowdStrike, Carahsoft Struck Deal to Sell Software IRS Didn’t Buy",130728890,https://s.yimg.com/ny/api/res/1.2/17eUoNvrJEIv.6rXG2ovSw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/bloomberg_markets_842/13e434e4dbbef0bcd9006a8310426c6c,CRWD,Yahoo,"(Bloomberg) -- Last fall, George Kurtz, the chief executive officer of CrowdStrike Holdings, Inc., gave investors a quarterly financial update that sent shares soaring. Among the details Kurtz highlighted was a major deal to sell cybersecurity tools for use by the US government.“Identity threat protection wins in the quarter included an eight-figure total deal value win in the federal government,” Kurtz said on the earnings call after markets closed on Nov. 28, 2023.Kurtz was referring to a $32",https://finnhub.io/api/news?id=944b5de084409234f10538b0cdbdc5704b5183d1270a12f15d453ba8d33b3b20
company,1729866774,Here’s Why CrowdStrike Holdings (CRWD) Shares Fell Sharply,130728891,https://media.zenfs.com/en/insidermonkey.com/7747a035deba38791b8d49bb9057930e,CRWD,Yahoo,"Baron Funds, an investment management company, released its “Baron Opportunity Fund” third quarter 2024 investor letter. A copy of the letter can be downloaded here. In the third quarter, the fund rose 4.04% (Institutional Shares), outperformed the Russell 3000 Growth Index, which gained 3.42%, and lagged the S&P 500 Index, which advanced 5.89%. In the […]",https://finnhub.io/api/news?id=d5ff4f158954b0f954e52c9ec2334e61c06c92f9ed0867b256b0859c9969b0a1
company,1729859093,"Even small IT failures can cost millions, tech leaders say",130756852,https://imgproxy.divecdn.com/p4t_k6uZ1eX0se19c613yyUPH--YtlxjI-aIln9Nt3A/g:ce/rs:fit:770:435/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy0yMTYyNjU2MTI0X1Nsc2l5NTQuanBn.webp,CRWD,Yahoo,"Businesses lose up to $1.9 million per hour from high-impact events like the CrowdStrike outage, according to a New Relic survey.",https://finnhub.io/api/news?id=dd13acacf377f81624bc77e8bd97162d3143ebccd2cbe753f6f9a4e9d68663aa
company,1729857480,"JETS ETF Takes Flight While Delta, Southwest Face Turbulence: What's Next For Airline Stocks?",130730529,,CRWD,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=bf02852a2971b65c1793868a026b973b5eba9d50632c07b6ce289ddf974718ec
company,1729856978,What's Fuelling CrowdStrike's Market Rebound,130722588,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1987307560/image_1987307560.jpg?io=getty-c-w1536,CRWD,SeekingAlpha,"CrowdStrike rebounded 24% since July 19, driven by strong demand for its AI-powered cybersecurity solutions. Click here to read my analysis of CRWD stock.",https://finnhub.io/api/news?id=bb1553aec0dce5d296578def5f00bca382653696295ec7af97b289788b4026c4
company,1729856760,"Crowdstrike contract with Carahsoft ‘raises red flags,’ Bloomberg reports",130733108,,CRWD,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=7f6611116b136b0a2d26d0b35254ada6d29c47b720f5a06f4e35e076acd80853
company,1729856700,"Crowdstrike contract with Carahsoft 'raises red flags,' Bloomberg reports",130733110,,CRWD,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=2d6951b7a95570b74903caa94a647638b2af348ba6cee0accf949e3c0bb0f5a5
company,1729853845,Visa vs. Mastercard: Which Credit Card Giant Is the Better Buy Ahead of Earnings?,130721260,https://media.zenfs.com/en/tipranks_452/2162bd7dc8451277d8a2d96e5a303aed,CRWD,Yahoo,"The earnings season has arrived, and credit card giants Visa (V) and Mastercard (MA) are set to report their September quarter results on October 29 and 31, respectively. In this article, I will use the TipRanks Stock Comparison Tool to explain why, despite my bullish stance on both stocks, I believe Mastercard has a slight advantage heading into earnings day, making it the better buy. Visa’s Fiscal Q3 Recap Despite Visa’s underwhelming Q3 results reported in July, my long-term bullish thesis re",https://finnhub.io/api/news?id=a2b3f9f52dec8aa6d690ff6df22ce0ffa278c0935be583b3e49cd4f7e6cd83c2
company,1729850400,$1000 Invested In CrowdStrike Holdings 5 Years Ago Would Be Worth This Much Today,130733112,,CRWD,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e3828d16ea7bf5d4da8051dcb5ae07cc9e503ffd7889a39fbb22258cd05a4c17
