category,datetime,headline,id,image,related,source,summary,url
company,1729864146,Dow : 3Q 2024 Earnings Transcript,130726308,,DOW,Finnhub,"Dow Inc. NYSE:DOW FQ3 2024 Earnings Call Transcripts Thursday, October 24, 2024 12:00 PM GMT S&P Global Market Intelligence Estimates...",https://finnhub.io/api/news?id=b9098677f7041dedc325241920c8c3f1d91e4f4e179764c020794af411aafbbc
company,1729862883,"Dow Third Quarter 2024 Earnings: Revenues Beat Expectations, EPS Lags",130733803,https://media.zenfs.com/en/simply_wall_st__316/78a8c60a6283aea0450523395306d38c,DOW,Yahoo,Dow ( NYSE:DOW ) Third Quarter 2024 Results Key Financial Results Revenue: US$10.9b (up 1.4% from 3Q 2023). Net income...,https://finnhub.io/api/news?id=edae3117a8b881fc7efbf2e1e4f040a65d8fab036e8381787659cdb5794c6b73
company,1729854360,Decoding Dow Inc (DOW): A Strategic SWOT Insight,130751478,,DOW,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=ba68831b5eba651f67d3d9c045815b82addaedc8bd27a26befe4dc066d032a3a
company,1729848780,"Video: Dow Movers: DOW, UNH",130741837,,DOW,Market News Video,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=abbd1eba857720371320699f68d460f229bfe2fafe59629bf636f81115be17f4
company,1729846920,Peeling Back The Layers: Exploring Dow Through Analyst Insights,130741839,,DOW,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=45f4e47081ee033e5cbe7fe1859837eee6130f6f6976449f145c4d2b33b298be
company,1729846680,"New Buy Rating for Dow Inc (DOW), the Basic Materials Giant",130741841,,DOW,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c417bceb1165f04b6665e3ba52aab9799bea18d571ae5f714b42cf9e71c22161
company,1729842480,Dow Inc (DOW) Gets a Hold from Evercore ISI,130741843,,DOW,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=235f11b1aa02c43aaa8ced0f2be83843565dce71a48c7a01251ef86e1f311a04
company,1729840320,Dow Inc. price target lowered to $54 from $57 at BMO Capital,130741844,,DOW,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=907ed99134420803b38f7d56e6a3dfa1ae497854d4e49d6297de75e7251a3eff
company,1729840161,Dow Inc (DOW) Q3 2024 Earnings Call Highlights: Navigating Growth Amidst Challenges,130733806,,DOW,Yahoo,Dow Inc (DOW) reports steady sales growth and strategic advancements despite macroeconomic headwinds and operational setbacks.,https://finnhub.io/api/news?id=ea02e761adb40d57135b8fcc98771ccd2056b5ed10ec8470385bb6e19aa5abcb
company,1729840080,Dow Inc. price target lowered to $60 from $62 at Wells Fargo,130741847,,DOW,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=9ecec55d45d50322dc8bec7c04772c435123b93d181963f20581d4c90db2f220
company,1729840080,"Dow Inc. price target lowered by $3 at BMO Capital, here's why",130741846,,DOW,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=5b1d22afa34f4c11769dc8d671d00444674935bbfac156d8b912c31cb7d665dd
company,1729839660,"Dow Inc. price target lowered by $2 at Wells Fargo, here's why",130741849,,DOW,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=fc75372b0f715796a6222b24340a5c05ef6f1c42d5a386efd5010ba25578a7bb
company,1729839120,"Analysts’ Opinions Are Mixed on These Materials Stocks: Dow Inc (DOW), Vale SA (VALE) and West Fraser Timber Co (WFG)",130729501,,DOW,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=04e04a7a5032e19de72d01ca95c30606e4f774f35bb08ac57755aab75d213352
company,1729839020,Q3 2024 Dow Inc Earnings Call,130715970,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,DOW,Yahoo,Q3 2024 Dow Inc Earnings Call,https://finnhub.io/api/news?id=97272c18965a22a41cb5c0cea61099322c1adae062c6acf77207c3f94e9dc283
company,1729838820,"Analysts Offer Insights on Materials Companies: Dow Inc (DOW), Teck Resources (TECK) and Methanex (MEOH)",130728369,,DOW,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=14224a3b314381628c38be658e1b48adccbfd5b0cf295863061578f8a2e603f4
company,1729837380,"Analysts’ Top Materials Picks: Summit Materials (SUM), Dow Inc (DOW)",130730827,,DOW,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=201531ad58fe1ed0cbc8c20a4a42a37aa7edfff4258ae10b14ed2e22aacc27d2
company,1729837320,Dow Inc (DOW): New Buy Recommendation for This Basic Materials Giant,130741856,,DOW,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=91f3458ddcd89d8591483600713f20916ebd3d83dfea05bef470e6ac3cd3eaff
