category,datetime,headline,id,image,related,source,summary,url
company,1729870478,"Stocks to watch this week: BP, Shell, Uber, HSBC and Intel",130772190,https://s.yimg.com/ny/api/res/1.2/lmGJ1EjrFhBEbPCAFeD8AA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2024-10/e2cf0220-92e8-11ef-bece-e7934d5a2ec7,EBAY,Yahoo,Earnings preview of key companies reporting this week and what to look out for.,https://finnhub.io/api/news?id=f3a7861825cae1949625d229883be87a61891618f6fa147c7e0c7bed20357368
company,1729870478,"Stocks to watch next week: BP, Shell, Uber, HSBC and Intel",130722189,https://s.yimg.com/ny/api/res/1.2/RhNbxPGcEGqrDM0SQ56kIg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2024-10/f1a31280-881d-11ef-9e7f-282211d38ce8,EBAY,Yahoo,Earnings preview of key companies reporting next week and what to look out for.,https://finnhub.io/api/news?id=614894060a427a02efa7c46e1810fb7f3befb60b288e4444700b95277776ab0a
company,1729857660,Should You Investigate eBay Inc. (NASDAQ:EBAY) At US$63.59?,130727026,https://media.zenfs.com/en/simply_wall_st__316/bba80cef4667ee8433810d7fbee032a7,EBAY,Yahoo,Today we're going to take a look at the well-established eBay Inc. ( NASDAQ:EBAY ). The company's stock saw a decent...,https://finnhub.io/api/news?id=4e0b8db978bf758b5328db0a4f99f07c28f6c4c0e5b5c1b4e2585ad9482f3591
company,1729853700,Could Buying PayPal Stock Today Set You Up for Life?,130724174,https://g.foolcdn.com/editorial/images/795015/couple-makes-smartphone-payment.jpg,EBAY,Yahoo,Should you invest in this out-of-favor fintech stock?,https://finnhub.io/api/news?id=60763b6b58291087e75c7891740710fdbb07b2897166685d58f132034eabc7af
company,1729848928,Behind the Brand: EBay Sneakers,130727030,https://s.yimg.com/ny/api/res/1.2/6HXXwl4JYyLF.J9payUxxQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://cf-images.us-east-1.prod.boltdns.net/v1/jit/6415665815001/c6bc1027-3c75-48bf-9406-e7b7a050a87e/main/1280x720/1m41s952ms/match/image.jpg,EBAY,Yahoo,"Wahaaj Shabbir's expertise at reselling helped to secure his first job at global online marketplace eBay. Shabbir is now eBay UK’s head of sneakers, a category which has seen such exponential growth in recent years that a pair, either new or pre-loved, is sold every five seconds.",https://finnhub.io/api/news?id=d49dff91f487004993d361cdd86bfdacc8c9780c1e8731ee93b257fbbf26daa9
company,1729842960,eBay price target raised to $54 from $45 at TD Cowen,130741511,,EBAY,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=10d0465c35424e03cd0c5454cf653b9926b00826429b35d98ec61f8057c244ca
company,1729842720,"eBay price target raised by $9 at TD Cowen, here's why",130741512,,EBAY,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=345aa37a5d638483c9349fd044af12875e5b8dfe34c7d2cbf3948984a68c9f1c
company,1729837140,eBay price target raised to $71 from $65 at Morgan Stanley,130741513,,EBAY,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e460adeb7582bc78ab29ff8f3b878ce0fa44f5827da5d2e55441efb9e7a0c3b3
company,1729836780,"eBay price target raised by $6 at Morgan Stanley, here's why",130741514,,EBAY,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=03cd4f69bd00f54dd970352d37ea918a90ee5a7923c2c2d4451b0c0e4ed8510e
company,1729833180,"Analysts Offer Insights on Consumer Cyclical Companies: Life Time Group Holdings (LTH), Texas Roadhouse (TXRH) and eBay (EBAY)",130732519,,EBAY,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=98b4476726fc9c7c2f41eb5868503c6fc4d198c65ac7521a09c53fc41625b1fb
company,1729833060,eBay’s Growth Potential: Nathan Feather’s Optimistic Outlook and Overweight Rating,130741516,,EBAY,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b4ced99077147f6eae93f03117126e4d0c58032b5c9b6dbc0c4a96d67ec20ace
company,1729832439,'I was an eBay top power seller — it landed me a job as their head of sneakers',130719675,https://s.yimg.com/ny/api/res/1.2/pvDwJ70Cu974.2MMxF_qfw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2024-10/4cebd770-91d9-11ef-adfb-5463b93834b1,EBAY,Yahoo,"Wahaaj Shabbir is eBay UK’s head of sneakers, where a pair is sold every five seconds on the platform.",https://finnhub.io/api/news?id=47d8067fa6a783f31adb775e35a3b5f00184fbdf8d31d640196614ee80adccaf
company,1729820460,Buy/Sell: Wall Street’s top 10 stock calls this week,130728616,,EBAY,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=d7afdabb88a25b113aa6e6814484c2cd8954f9549f3de96b873eca16fda8ba26
company,1729820220,Buy/Sell: Wall Street's top 10 stock calls this week,130728617,,EBAY,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=00e0ee823356a5d7295ab71d4991670a8a37d7603b41c21cd2710fc695b6dfda
company,1729819020,eBay Hold Rating: Modest Growth Amid Macroeconomic Challenges and Strategic Uncertainties,130741519,,EBAY,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=275be6f9fae0492505add8e8f1e8b8ec4f37ced88e99751c130ffaa44fba7d21
