category,datetime,headline,id,image,related,source,summary,url
company,1729855117,Globe Life Third Quarter 2024 Earnings: EPS Beats Expectations,130726029,https://media.zenfs.com/en/simply_wall_st__316/78a8c60a6283aea0450523395306d38c,GL,Yahoo,Globe Life ( NYSE:GL ) Third Quarter 2024 Results Key Financial Results Revenue: US$1.46b (up 5.2% from 3Q 2023). Net...,https://finnhub.io/api/news?id=4d7d83f0674d073229dd98edcb14d48e2c8d4bbb8a1b7a42230ee77ec0097b96
company,1729854240,Globe Life Inc (GL) Stock Price Down 3.17% on Oct 25,130736359,,GL,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=cbef63c4acee75e8fbc27b6404aded5c30b01e937d91e305373bef22eaf800d5
company,1729844400,Artisan Mid Cap Value Fund Q3 2024 Commentary,130719964,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1305707642/image_1305707642.jpg?io=getty-c-w1536,GL,SeekingAlpha,Our portfolio generated a strong absolute return but trailed the Russell MidcapÂ® Value Index. Read more here.,https://finnhub.io/api/news?id=1ca253d0707b382066cba5567827fa3c5fcddd98caec08ff5a3dcc9402a3e721
company,1729840674,Globe Life Inc (GL) Q3 2024 Earnings Call Highlights: Strong Net Income Growth and Strategic ...,130726031,https://media.zenfs.com/en/us.finance.gurufocus/a326b5f82553d17bdd09a6dc687dcc3c,GL,Yahoo,"Globe Life Inc (GL) reports a robust increase in net income and strategic initiatives, despite challenges in health underwriting margins and elevated legal expenses.",https://finnhub.io/api/news?id=1b86258ef637bfcae1aa38db6c1178fd8960880ce8a3e7b399626d6cf54b4ed4
company,1729839420,Globe Life price target raised to $130 from $118 at Piper Sandler,130736361,,GL,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=ead7a7b1f1f8b431959a2201eeba2775d4ab70e33277ae93a22ec1c90c1bdd88
company,1729839060,"Globe Life price target raised by $12 at Piper Sandler, here's why",130736362,,GL,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=3bb1ef0946a6a739f22a9e7a0d21116031be4f0f940092624463db89b4c3d1ba
company,1729838900,Q3 2024 Globe Life Inc Earnings Call,130726033,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,GL,Yahoo,Q3 2024 Globe Life Inc Earnings Call,https://finnhub.io/api/news?id=c50923c28db4a71e5c9ff6f61c5ba8b9b415ce3f2c4b3c6e46c4c5f903517734
company,1729837380,Globe Life (GL) Receives a Hold from Truist Financial,130736363,,GL,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c26a1bc46289db25e2ca64e58136c86fe3dd928c821934be4be3325fc1352166
company,1729837320,Globe Life price target raised to $105 from $90 at Truist,130751118,,GL,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=02df9c62142e374d527e77da0389a87aba55f8a1eabba1aa4ea666e7b85033a0
company,1729837080,"Globe Life price target raised by $15 at Truist, here's why",130751119,,GL,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=40c9800524ccfa8e86a846dd9d495e096eec2ad5024e9e389808c429a094ce94
