category,datetime,headline,id,image,related,source,summary,url
company,1729891397,General Motors (NYSE:GM) Stock Is Still Undervalued despite Its Recent Rally,130734837,https://media.zenfs.com/en/tipranks_452/b60cd77f6d9d9985f2fcfe8692b153e3,GM,Yahoo,"If General Motors (GM) shares trade near their 2024 highs, does this mean General Motors is too richly valued now? Not at all, as the company’s earnings are sufficiently robust to justify the stock price, even after a recent rally. All in all, I am bullish on GM stock because General Motors is a very reasonably valued business but also a powerful earnings beater. Headquartered in Detroit, General Motors manufactures conventional and electric vehicles. Until September, interest rates stayed at a",https://finnhub.io/api/news?id=0c5d9136eb642e205fcaa4a1efa52e69e253de75c06e70503804b27bda4e780c
company,1729870200,"Tesla’s EV-Sales Credits Are Going to Grow, Not Go Away",131079378,,GM,MarketWatch,"Tesla’s EV-Sales Credits Are Going to Grow, Not Go Away",https://finnhub.io/api/news?id=273cdba3d3bfa70447bbb862f1042ca804afdab47a27123428e28ba5ec8cf3ab
company,1729864212,Are You a Momentum Investor? This 1 Stock Could Be the Perfect Pick,130734840,https://media.zenfs.com/en/zacks.com/8442d24e11d454aa89061259a9714d43,GM,Yahoo,The Zacks Style Scores offers investors a way to easily find top-rated stocks based on their investing style. Here's why you should take advantage.,https://finnhub.io/api/news?id=bf0035becdf063e219712806f1c2aa3b695bcbd4bff39877bd18a462d8145b1c
company,1729862197,Elon Musk might be hurting Donald Trump more than helping: YF survey,130726457,https://s.yimg.com/ny/api/res/1.2/4sJcvDDeo3yaeZrISwSJ5g--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03OTk-/https://s.yimg.com/os/creatr-uploaded-images/2024-10/f4d52110-92bc-11ef-ad3c-eacaaec41894,GM,Yahoo,"In an online survey, Yahoo Finance users said Elon Musk's support for Donald Trump's presidential campaign makes them less likely to vote for the former president.",https://finnhub.io/api/news?id=13555df1cfb618af16fd8aa5e42eeb4678f31ac883b5406e6997664360bf23fc
company,1729852200,Auto stocks and the election: Maybe investors should buckle up,130723381,,GM,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=9e959592c6ba2fe3f2ad26eb7684e09c4828fcf12c4ce44e071adbc7dee9c974
company,1729841580,"Dividend Roundup: Starbucks, Wells Fargo, Citigroup, Alcoa, and more",130727219,,GM,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=0b57ac1f8c8025edc8183f616218847b815f5dbdad18455d594eb8a8bd502b38
company,1729833180,General Motors price target raised to $55 from $53 at Bernstein,130734980,,GM,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=01157f16699c4db597f02f9ece5c5284ee79280239392ba6f9b775dde4bf7c56
company,1729832820,"General Motors price target raised by $2 at Bernstein, here's why",130734981,,GM,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=38fef241848de4427e1fea4d50aaec6fa3ebe9bb415b0c5b9b5abf8dd369d108
company,1729829100,Navigating Earnings Season: A Tale Of Three Companies,130716794,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1341307278/image_1341307278.jpg?io=getty-c-w1536,GM,SeekingAlpha,"GM defied expectations this earnings season by offsetting EV headwinds and labor costs with higher vehicle pricing, signaling strong profit potential despite broader industry challenges.",https://finnhub.io/api/news?id=201f4332ef84c98a00284a6ff3909069549327c4aa627efb0c486a4af15d3d22
company,1729828800,How General Motors Updated Its Historic Campus for the Cars of the Future,130734846,https://s.yimg.com/ny/api/res/1.2/Vg1o8hScI8IjAkgqmSUyyQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/wall_street_journal_733/06ebd3db89897de7498ebe37f6f26ead,GM,Yahoo,General Motors invested nearly $2 billion to modernize its historic campus by architect Eero Saarinen. WSJ took a tour to see how GM has built a studio to make the cars of the future.,https://finnhub.io/api/news?id=905c39bbadb17a13a104ab0f2fd371679cee12236723e6d9fb03d0718d4dfb9a
company,1729827840,"Investors Cautious With Election Ahead, Treasury Yields Surge Further, Tesla Surprises: This Week In The Market",130733776,,GM,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=982af1e0aba1d84085996d3020e284f9ff524b6084b08c0ecdac56dcb5f6ed80
company,1729822920,Boeing Is Dealing With a Strike. What It Means for Inflation and the Economy.,131079379,,GM,MarketWatch,Boeing Is Dealing With a Strike. What It Means for Inflation and the Economy.,https://finnhub.io/api/news?id=c5dbef1b10eccce57795a48fd769a81fca7cc9c8ed103f85a1ec8ee9e3ab0b58
company,1729821720,"Catalyst Watch: Eyes on tech with Apple, Amazon, Alphabet, and Meta reporting",130729385,,GM,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=f171f66dc36dac994e24110fa7ada357da304305543769d90b2420900103e743
