category,datetime,headline,id,image,related,source,summary,url
company,1729893405,Honeywell (HON) Leading Quantum Computing with Quantinuum,130750062,https://s.yimg.com/ny/api/res/1.2/P9340l_Lb2XsbRO_HdIyMQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/570fa4bd712d9be69c8466bd284d7230,HON,Yahoo,"We recently published a list of 10 Best Quantum Computing Stocks to Buy According to Analysts. In this article, we are going to take a look at where Honeywell (NASDAQ:HON) stands against other best quantum computing stocks to buy according to analysts. The modern digital world is built with its transistor-based chips on the foundations […]",https://finnhub.io/api/news?id=ec3000d4a8d64ff64b4ee04b43f1c8dccde2261f7ad2821cccde69bb7cea9bf8
company,1729860240,Honeywell Stock Falls on Downgrade. It’s About the Economy.,130726415,https://s.yimg.com/ny/api/res/1.2/Y1gc5HRz3wdLEVrz47qtdg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MDA-/https://media.zenfs.com/en/Barrons.com/6dc0d22bf1e5928eba9b5f1cf2e846c3,HON,Yahoo,Baird analyst Peter Arment cut his rating on the company to Hold from Buy. His price target went to $217 a share from $223.,https://finnhub.io/api/news?id=fd5f11b15bbded9ca232bfd70f95e0a6cd6cdd57d59e58c009a1445169708173
company,1729855080,Honeywell International: Buy Rating Backed by Long-Term Growth Prospects and Strategic Portfolio Reshaping,130723841,,HON,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=bb6bad0fa680197c453333056c3c04d46411628cd23bcffe2e9bf5ee70203b9e
company,1729854459,Honeywell building automation offsets industrial automation decline in Q3,130750064,https://imgproxy.divecdn.com/HIT9H-IMN-0JlnQPCAp0VT-Fv7uAZrIzYPoRBAjaF_w/g:ce/rs:fit:770:435/bG9jYWw6Ly8vZGl2ZWltYWdlL0dldHR5SW1hZ2VzLTE4NDA3Mzk5MTguanBn.webp,HON,Yahoo,"Honeywell’s backlog jumped 10% year over year, to $34 billion in the third quarter, led by its building automation segment and energy and sustainability solutions business, CFO Greg Lewis said.",https://finnhub.io/api/news?id=2287eeecf95f977377040bc3b4671ad221978f8dfa0c58dc61faed13b68b8af0
company,1729845480,This Honeywell Analyst Is No Longer Bullish; Here Are Top 5 Downgrades For Friday,130723842,,HON,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=065074fb5e389ccec349d352aaaee831be8f26c1ec1a8fbcddfdd2c17598aa33
company,1729840920,Honeywell price target raised to $215 from $207 at Wells Fargo,130723843,,HON,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=51a1167ca7bb848186f4b2ce7d2b8e2a0a386e54bfd2b47838fced2e29e17e8e
company,1729840620,"Honeywell price target raised by $8 at Wells Fargo, here's why",130723844,,HON,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=2edf2441f162dec8b3c869bebb7edae4bf2119341960c2f148e885d61db5abc9
company,1729840242,Honeywell International Inc (HON) Q3 2024 Earnings Call Highlights: Record Backlog and ...,130726416,https://media.zenfs.com/en/us.finance.gurufocus/1e54b045ee5264e7eb019ffb4c297132,HON,Yahoo,"Despite challenges in industrial automation, Honeywell International Inc (HON) reports strong aerospace growth and strategic advancements in sustainability and technology.",https://finnhub.io/api/news?id=efe01ea047a0f7b65d27179ebfe4beca8c632e6e1cb645dec4a785a80b57ba46
company,1729839840,"Analysts’ Opinions Are Mixed on These Industrial Goods Stocks: Honeywell International (HON), Dover (DOV) and Northrop Grumman (NOC)",130723845,,HON,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=3bf6919ecf65639f49000b665434dc1b20ca64407c347b0dd56dc4379a286ab8
company,1729839780,RBC Capital Keeps Their Hold Rating on Honeywell International (HON),130723847,,HON,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=facbec3b913c99fc53a563ca45dbce437f3951f622d858ef1894b63268da8618
