category,datetime,headline,id,image,related,source,summary,url
company,1729860664,Nasdaq Third Quarter 2024 Earnings: Misses Expectations,130760611,https://media.zenfs.com/en/simply_wall_st__316/78a8c60a6283aea0450523395306d38c,NDAQ,Yahoo,Nasdaq ( NASDAQ:NDAQ ) Third Quarter 2024 Results Key Financial Results Revenue: US$1.90b (up 31% from 3Q 2023). Net...,https://finnhub.io/api/news?id=b8d2d1553c1ad2c21c7751342aec2a39a12a6e104cee03f4e46d8fadaeab27d6
company,1729855959,Nasdaq Reports Strong Q3 2024 Revenue Growth,130760612,https://media.zenfs.com/en/tipranks_452/8c474a268b3ccb65c20f4bcdc0d91d48,NDAQ,Yahoo,"The latest announcement is out from Nasdaq ( (NDAQ) ). Nasdaq’s third-quarter 2024 results highlight its fourth consecutive quarter of double-digit solutions revenue growth, with a 22% year-over-year increase in net revenue, reaching $1.1 billion. The company’s financial technology sector saw a 56% rise in revenue, while index revenue grew by 26%. Despite a slight dip in GAAP diluted EPS, Nasdaq returned substantial capital to shareholders and made significant progress in deleveraging. The strat",https://finnhub.io/api/news?id=9121d271aa924f3c185867b873e53a390123bbe6e7045af65dd7bfa48a7f09e5
company,1729852105,Nasdaq: Once Again Reports A Solid Quarter Of Organic Solutions Revenue Growth,130721463,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1387979338/image_1387979338.jpg?io=getty-c-w1536,NDAQ,SeekingAlpha,"Nasdaq's 3Q24 earnings beat estimates, showcasing effective integration of Adenza. Learn more about NDAQ stock and my cautious hold recommendation.",https://finnhub.io/api/news?id=350b272acff3f46031fdf8960b64d50a7fb3149d7702cf5a32be09aa17830f61
company,1729841580,"Dividend Roundup: Starbucks, Wells Fargo, Citigroup, Alcoa, and more",130727219,,NDAQ,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=0b57ac1f8c8025edc8183f616218847b815f5dbdad18455d594eb8a8bd502b38
company,1729840606,Q3 2024 Nasdaq Inc Earnings Call,130716864,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,NDAQ,Yahoo,Q3 2024 Nasdaq Inc Earnings Call,https://finnhub.io/api/news?id=10d3226e25d3e5f185172ec083304afc9331fabc6ee8ecec9969e87a8c3b777d
company,1729840086,Nasdaq Inc (NDAQ) Q3 2024 Earnings Call Highlights: Strong Revenue Growth and Strategic Integrations,130716866,https://media.zenfs.com/en/us.finance.gurufocus/38f7187921b333e5bfe4af3fc4f9966a,NDAQ,Yahoo,Nasdaq Inc (NDAQ) reports robust financial performance with significant growth in net revenue and successful integration of key acquisitions.,https://finnhub.io/api/news?id=bc449b0f9d5bcf2428987095de7a17b5db4e4eba3946d27a219af295fdc35b03
company,1729840080,Nasdaq (NDAQ) Receives a Buy from Oppenheimer,130731182,,NDAQ,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=ef7969f248d721ced68c2ab66ccc67933609cd62edd5ee9f3a9635d6ac3dabdd
company,1729839780,RBC Capital Remains a Buy on Nasdaq (NDAQ),130731183,,NDAQ,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=a39d6cab7fbace424eefb863718ea20ab353daae85ef925d79bb5a34c82ef44f
company,1729839420,Nasdaq price target raised to $86 from $84 at Oppenheimer,130731184,,NDAQ,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=d22d66b6a2f64f70358827add50b06a4b88fbfb77daa7bc7cb3010532b051a3e
company,1729839120,"Nasdaq price target raised by $2 at Oppenheimer, here's why",130731185,,NDAQ,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b19abb88673ba202fed87d241a75dbb3fa8a95fd39cedd3248e3fe12f5bf06d8
