category,datetime,headline,id,image,related,source,summary,url
company,1729884153,Newmont Downgraded by Scotiabank Amid Cost Pressures and Unclear Newcrest Integration Path,130759526,,NEM,Yahoo,"Newmont faces downgrades and price target cuts after poor Q3 results, driven by rising costs and integration uncertainties",https://finnhub.io/api/news?id=5f3d179df2a20a2ed506599d10a57771e5e1d863cd0a4b36c48e3ec729b107b9
company,1729806067,Gold Miners Crippled by Costs Risk Losing Out on Bullion’s Boom,130719399,https://s.yimg.com/ny/api/res/1.2/hZtWoR1tu.xlKqWeoG_62g--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDY-/https://media.zenfs.com/en/bloomberg_markets_842/2412379526db57ed378f84d3c684a092,NEM,Yahoo,(Bloomberg) -- Gold prices are at record highs. But disappointing results at the world’s largest miner of the yellow metal signals companies may be struggling to capitalize on sizzling demand.Most Read from BloombergRobotaxis Are No Friend of Public TransportationBooming Cambridge Exposes England’s Widening Wealth GapOman Sees an Urban Future Distinct From Dubai and Abu DhabiArgentina Drug Trafficking Hotspot Sees Murders PlungeClimate Change Is Killing Buildings in Slow MotionNewmont Corp. shar,https://finnhub.io/api/news?id=341506a5c45c550868c34e655e1e773602af4964f4e218aa1c17d4fd6f636a43
company,1729857000,"Newmont adds to losses as Scotiabank cuts, seeing uncertainty weighing into 2025",130738455,,NEM,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=ee4401af05c893e653caa604316491667b94da7ce68af28cc28440a83bafe8f7
company,1729854699,Newmont Third Quarter 2024 Earnings: Misses Expectations,130759528,https://media.zenfs.com/en/simply_wall_st__316/78a8c60a6283aea0450523395306d38c,NEM,Yahoo,Newmont ( NYSE:NEM ) Third Quarter 2024 Results Key Financial Results Revenue: US$4.61b (up 85% from 3Q 2023). Net...,https://finnhub.io/api/news?id=5a6dc430d4972b83ea73c45fd80e3cfcc2788668abf1af43bd8051ba1d2181a1
company,1729849860,Newmont price target lowered to C$80 from C$87 at National Bank,130732697,,NEM,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b73fd6b9c29d12a6165a6bcc227952791fba79cfdc18f1e185d148ba2073cee4
company,1729849740,Newmont price target lowered by C$7 at National Bank,130738459,,NEM,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=781712715f5e6a9b504c163ff983ab0c9a05608f1d20aa85446dbd176e4e2867
company,1729847760,"Newmont price target lowered by $4 at Scotiabank, here's why",130738461,,NEM,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=982384080e799b4e1d67320951578818cf49ce450459fcaa3bbc1a889070c619
company,1729845660,Unusually active option classes on open October 25th,130722672,,NEM,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c70e91627c36f0b1c4f2b59b626152bb77d74aa5f37040394041dc320d709f91
company,1729845480,This Honeywell Analyst Is No Longer Bullish; Here Are Top 5 Downgrades For Friday,130723842,,NEM,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=065074fb5e389ccec349d352aaaee831be8f26c1ec1a8fbcddfdd2c17598aa33
company,1729844160,Newmont price target raised to $66 from $65 at Raymond James,130732699,,NEM,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=0c1aa3fdfe029419868d339ab190833c5ed064a19304c964225801fbfe8bf7d1
company,1729844040,"Newmont price target raised by $1 at Raymond James, here's why",130738469,,NEM,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=a9aab285229e22250e4c1976544bb1aab9bf3f11cc2a21835a5ee09de60346a3
company,1729840860,Top 3 Materials Stocks That May Explode In October,130727648,,NEM,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=40c4b1e84b04d6a0ecb386f45126501812a400263c5c5a99d66063146c4f5035
company,1729840537,Newmont Corp (NEM) Q3 2024 Earnings Call Highlights: Strong Cash Flow and Shareholder Returns ...,130759529,https://media.zenfs.com/en/us.finance.gurufocus/fbed065c1716c81de7787e2e3ea83cfb,NEM,Yahoo,"Newmont Corp (NEM) reports robust financial performance with $1.6 billion in cash flow and a $3 billion share repurchase program, while addressing production and cost challenges.",https://finnhub.io/api/news?id=f845d99da3de6a86f7f553bb4f499f024e854b78e12f57ce9ed1d0ee15b95c32
company,1729840305,Q3 2024 Newmont Corporation Earnings Call,130759530,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,NEM,Yahoo,Q3 2024 Newmont Corporation Earnings Call,https://finnhub.io/api/news?id=4a987010ef6db6c1472529677818c12796730954230b8c9db6381f9f24a1cbaf
company,1729837860,Newmont downgraded to Sector Perform from Outperform at Scotiabank,130732700,,NEM,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=7ff48e39854fe5317a984b5c3d7ad59b7d4fc8b5283736d80ef78136f9bd12a6
company,1729837800,"Newmont just downgraded at Scotiabank, here's why",130738472,,NEM,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=6df3ec2fc87225179325132294dbc3765830a23d1dcf503a9dc48eb5bbbc5158
company,1729837140,"OPEC+ oil production hike likely to be delayed further, analyst says",130737002,,NEM,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=3f59936087ebcccca0343ab0b770095e209378ef15d656425b3c1b12a676c618
