category,datetime,headline,id,image,related,source,summary,url
company,1729896300,Artisan Global Opportunities Fund Q3 2024 Commentary,130743321,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/912015114/image_912015114.jpg?io=getty-c-w1536,NKE,SeekingAlpha,Our portfolio underperformed the MSCI AC World Index in Q3. Click here to read more.,https://finnhub.io/api/news?id=be165f967fe3e8a6544db6fd67796708e79d6d09dd2d9e63eebfe16d742fdee3
company,1729893020,Here's Why Nike (NKE) Fell More Than Broader Market,130744426,https://media.zenfs.com/en/zacks.com/45c083e4721b0d0d1f6e431ec0bb5cc1,NKE,Yahoo,"Nike (NKE) reachead $78.85 at the closing of the latest trading day, reflecting a -0.24% change compared to its last close.",https://finnhub.io/api/news?id=7d51266ef12625ea394324b7213da10863a4f23265747c729231c273c2ac16f1
company,1729874794,Fast Running IBD Stock Of The Day Gives Investors A Chance To Catch Up,130726620,,NKE,Yahoo,"The stock, which has surged 90% in 2024, broke a downtrend on Friday giving an investors a buying opportunity.",https://finnhub.io/api/news?id=f7fdb384d40276778006b1330c072e11ba223b17a0ebef4caaf49fbb73378e17
company,1729885925,Deckers stock jumps on Hoka and Ugg-fueled earnings beat,130735858,https://s.yimg.com/ny/api/res/1.2/3BgDhVO_N78OQtWTSa8iwg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/os/creatr-uploaded-images/2024-10/970df330-9308-11ef-bffd-3a00b5563e52,NKE,Yahoo,"Deckers Outdoors (DECK) shares are trading higher after the apparel company delivered a beat and a raise. Market Domination Hosts Julie Hyman and Josh Schafer take a look at the Ugg and Hoka parent company as well as other shoe company stocks that are on the move like Skechers (SKX) and ON (ONON). To watch more expert insights and analysis on the latest market action, check out more Market Domination here. This post was written by Naomi Buchanan.",https://finnhub.io/api/news?id=8966065b2dcc80edc2554f28f14c90c372c61e5ca44814e405156895eb927051
company,1729872673,"Skechers: Quality Model Fairly Valued, But I'm Concerned On Cyclicality Post Q3",130731454,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1397288018/image_1397288018.jpg?io=getty-c-w1536,NKE,SeekingAlpha,"With a solid retail footprint and low valuation at 14x FY24E earnings, Skechers presents an intriguing case. See more on SKX stock and its market challenges.",https://finnhub.io/api/news?id=7144f8ea787c81b78e6bb105b12839620ee329fd09c8981e784e98eb5ba8e545
company,1729870852,Skechers' Q3 Was Strong,130730570,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2156364298/image_2156364298.jpg?io=getty-c-w1536,NKE,SeekingAlpha,"Despite the great performance, Skechers stock has remained stagnant, highlighting a remaining undervaluation. Click here to read my SKX update.",https://finnhub.io/api/news?id=8cb47ab19070d07fbd6556cfd2b5032cef3f9cd7ca59a4f19116f7b1e5ead9eb
company,1729848648,"Why Starbucks, Nike and Boeing are looking for a time machine",130719615,"https://media.cnn.com/api/v1/images/stellar/prod/240112145454-starbucks-011224.jpg?c=16x9&q=w_800,c_fill",NKE,Yahoo,"Three quintessentially American companies — Starbucks, Nike and Boeing — share a common predicament at the moment.",https://finnhub.io/api/news?id=d936180b9d0ba102f051d7a9e3b4e3bd0fa3d8200f1b41d6fdda60ecab5690c4
company,1729857420,"The Weekly Closeout: Kate Spade launches M&M’S collection and Nike extends partnership with NBA, WNBA",130744430,https://imgproxy.divecdn.com/QhDoT0dVcOSSAlk5iDOeCVFytOFIuFWP6cZN0B1lWJw/g:ce/rs:fit:770:435/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9NTXNfS1NOWV9Db2xsZWN0aW9uLmpwZw==.webp,NKE,Yahoo,"The fashion company announced a sweet collaboration, while the athletics brand is signing on for another 12 years with the basketball associations.",https://finnhub.io/api/news?id=59ac4e49c99ed107bd760cca1a3e5c329e9a5622dbddd708129137847284a140
company,1729854900,Skechers Overcomes China Challenges with Strong Global Growth,130725000,,NKE,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=400fe1f2e4ffda4bcfef6986df644f8cc74cbe8ed7550f1aeda7dd03311fc496
company,1729847764,Nike : x Wu-Tang Clan Reunite to Release Legendary Sneaker Grail,130720579,,NKE,Finnhub,Stories Impact Company Newsroom ...,https://finnhub.io/api/news?id=c7e296cc9f1d9756e186eb0f73e3dc4a445c2617950c1d9850d2fb57da62c225
company,1729832439,'I was an eBay top power seller — it landed me a job as their head of sneakers',130719675,https://s.yimg.com/ny/api/res/1.2/pvDwJ70Cu974.2MMxF_qfw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2024-10/4cebd770-91d9-11ef-adfb-5463b93834b1,NKE,Yahoo,"Wahaaj Shabbir is eBay UK’s head of sneakers, where a pair is sold every five seconds on the platform.",https://finnhub.io/api/news?id=47d8067fa6a783f31adb775e35a3b5f00184fbdf8d31d640196614ee80adccaf
