category,datetime,headline,id,image,related,source,summary,url
company,1729858680,Berenberg Bank Reaffirms Their Buy Rating on Tikehau Capital SCA (7TI),130725751,,TKO,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=370bfe70c5864c2b51ca88b83ee51bc68dc45ad7e4dbf62cd0aa8c248d161afb
company,1729855266,New lawsuit alleges child sexual abuse of WWE 'ring boys' in Maryland,130722036,,TKO,Finnhub,BALTIMORE — A new lawsuit accuses the WWE and its founders of fostering a culture of sexual abuse within the organization and looking the other way while a longtime ringside announcer preyed on...,https://finnhub.io/api/news?id=474e70fb39c0d67d1514ab59a5799439d40891b9460708b6f13342b440e5c1d9
company,1729855226,TKO Group Holdings Expands with Strategic Acquisitions,130732951,https://media.zenfs.com/en/tipranks_452/473a7dae9b95ca26ec42931b8cebc299,TKO,Yahoo,"The latest update is out from TKO Group Holdings ( (TKO) ). TKO Group Holdings has announced a significant strategic acquisition of sports assets from Endeavor Group Holdings, valued at $3.25 billion, including Professional Bull Riders, On Location, and IMG. This move aims to expand TKO’s presence in the premium sports market, complementing its existing UFC and WWE businesses. Alongside, TKO’s board authorized a $2 billion share repurchase program and initiated a quarterly cash dividend program",https://finnhub.io/api/news?id=acc9a088f1a0375a1c764215b050478f1151af172850be532b12ce601c5dc424
company,1729849920,Investors Will Keep Ari Emanuel In The Boxing Ring,130720989,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1824203678/image_1824203678.jpg?io=getty-c-w1536,TKO,SeekingAlpha,Endeavor has agreed to sell some assets associated with live events to sister firm TKO. Click to read.,https://finnhub.io/api/news?id=82c974ff666e44512b07ac0ead1a418d1bfa46303b776ff6e0ada347f5703b0f
company,1729849020,TKO Group price target lowered to $135 from $137 at Seaport Research,130725752,,TKO,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=0c049e44efff928238a3255e73cb2a39cab7b19af987f0fd3988a1da7d3a1340
company,1729848840,"TKO Group price target lowered by $2 at Seaport Research, here's why",130725753,,TKO,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=af166d60d88523c0d3d0d2898804077a91a810ae31b04cd08020b9801305e9f3
company,1729846740,TKO Group Holdings (TKO) Gets a Buy from Bank of America Securities,130725754,,TKO,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b3140ed2b4e9d26a8c3e37352df269311c1ca1f0e49f8c82d3060c3681e7f31f
company,1729845960,Roth MKM Keeps Their Buy Rating on TKO Group Holdings (TKO),130725756,,TKO,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c6f71384a07b690c9b8d3e075043d5de5c40313059cef4d9d7a3e8572c25c1a3
company,1729842360,Strategic Acquisition and Capital Programs Drive TKO Group’s Growth Potential,130725757,,TKO,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=2478a2eccc99fce732478e10e9d4169e69e1d9a95770a99359f786997aeaa3ef
company,1729836480,TKO Group Holdings’ Strategic Acquisitions and Financial Initiatives Justify Buy Rating,130725758,,TKO,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=39f286c62d940f86d07280022cda0c70c880a77cb369e7e15326fbecc591bec6
