category,datetime,headline,id,image,related,source,summary,url
company,1729886578,"Centene, HCA, Universal: Healthcare earnings in focus",130733370,https://s.yimg.com/ny/api/res/1.2/gdnlyo6dlGJNKox26YD.pA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzY-/https://s.yimg.com/os/creatr-uploaded-images/2024-10/311fb6a0-930b-11ef-bf7b-0b37f60c4381,UHS,Yahoo,"Centene (CNC) shares are getting a bump after beating third quarter earnings estimates. Hospital operators HCA Healthcare (HCA) and Universal Health Services (UHS) stock are sinking following their respective earnings results. Market Domination's Julie Hyman and Josh Schafer expand the broader healthcare industry themes seen in these earnings. To watch more expert insights and analysis on the latest market action, check out more Market Domination here. This post was written by Luke Carberry Mogan.",https://finnhub.io/api/news?id=2ba15c914f0cac625791f6085f5ae684654753c37be0d326cb4f113b5b1016a7
company,1729875900,Universal Health Q3 Earnings Miss on Elevated Operating Costs,130735242,https://media.zenfs.com/en/zacks.com/228e67967b066e7a755ae3614be720e1,UHS,Yahoo,"UHS' Q3 results suffer from rising operating costs in salaries, wages and benefits, and supplies, impacting profitability. Nevertheless, strong revenue growth and increased admissions partly offset the downside.",https://finnhub.io/api/news?id=899fd59e8e244b5fb3d6e1958f8cb4fa163a0d1da3a9f46e64476a20944d48fb
company,1729861923,"Universal Health Services, Inc. (UHS) Q3 2024 Earnings Call Transcript",130724948,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,UHS,SeekingAlpha,"Universal Health Services, Inc. (NYSE:UHS) Q3 2024 Earnings Conference Call October 25, 2024 9:00 AM ETCompany ParticipantsSteve Filton - Executive Vice...",https://finnhub.io/api/news?id=c434a8d3f791a6c88c552512b00627570e613dfddda05c6e2f4881d95aedc8cf
company,1729851060,"Analysts’ Top Healthcare Picks: Universal Health (UHS), Zai Lab (ZLAB)",130723429,,UHS,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=3e463a8608cd906021519a9f2cd59d775e8b04917a5b3905ea3220034f2cd6fa
company,1729846740,Universal Health (UHS) Receives a Buy from Bank of America Securities,130723430,,UHS,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=f1d90fbb2ea256f9269a1dd335b830e807f84cf9f954871135142411ac8767f6
company,1729845546,UNIVERSAL HEALTH SERVICES : ANNOUNCES 2024 THIRD QUARTER FINANCIAL RESULTS Form 8 K,130720041,,UHS,Finnhub,"UNIVERSAL HEALTH SERVICES, INC. ANNOUNCES 2024 THIRD QUARTER FINANCIAL RESULTS Consolidated Results of Operations, As Reported and As Adjusted - Three-month periods...",https://finnhub.io/api/news?id=c64347cc8525b81c85d138ce1c1326288d3292cc3db7c9765bf212bd256ee683
company,1729841220,Cantor Fitzgerald Sticks to Their Hold Rating for Universal Health (UHS),130723431,,UHS,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=354583ef53bedc09ed1fc78395244ec3b8ea7fc0628e432c93040c23a116f483
company,1729840800,HCA Healthcare drags hospital peers after Q3 results,130723432,,UHS,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=d7142f9d8b41c0cdca0f2e274c11435ed851c4127b951c98a69aaa6eb69ba14c
company,1729838640,Universal Health (UHS) Receives a Buy from TD Cowen,130723434,,UHS,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=50acad4c9998dcdb0364a8cd933dcedbda0ee57de6af7ab0f43587e662618d59
company,1729838640,"Analysts’ Opinions Are Mixed on These Healthcare Stocks: Inari Medical (NARI), Integer Holdings (ITGR) and Universal Health (UHS)",130723433,,UHS,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e9b618f5dd4daaeb6103e31f3f105abdb5472ff0431cd3e799479337d0cf5b7d
company,1729836060,Universal Health price target raised to $271 from $256 at Barclays,130723435,,UHS,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=0e4d7117bf26b442d20ca71447459b466ec8e69251af3810deca9241155ed62d
company,1729836000,"Universal Health price target raised by $15 at Barclays, here's why",130723436,,UHS,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c9af544f7b5b3e8f5baf28c30dcdf5fcfa1166c9e880d7d2945de74625e9e7ab
company,1729835280,Universal Health (UHS) Receives a Buy from Barclays,130723437,,UHS,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=07429848d172878eff280337c54222a099e7c6e835771a50d79cf8f17c4cb944
