category,datetime,headline,id,image,related,source,summary,url
company,1729855396,Union Pacific Third Quarter 2024 Earnings: EPS Misses Expectations,130739971,https://media.zenfs.com/en/simply_wall_st__316/78a8c60a6283aea0450523395306d38c,UNP,Yahoo,Union Pacific ( NYSE:UNP ) Third Quarter 2024 Results Key Financial Results Revenue: US$6.09b (up 2.5% from 3Q 2023...,https://finnhub.io/api/news?id=bbef851a76b651bfc1ea2b06d96cca56b5f691488806fa68cacf1ca185dc6aac
company,1729842480,Evercore ISI Sticks to Their Hold Rating for Union Pacific (UNP),130736243,,UNP,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=19dda246c8b97c90f3ac37eeae718540a27a1d97db3968326a41847fb5b0ee37
company,1729842060,Union Pacific price target lowered to $252 from $255 at TD Cowen,130736244,,UNP,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=9d440f601728c303c4b6d763787a296195d4eb831b2363e4577134f14a8b79cb
company,1729841880,"Union Pacific price target lowered by $3 at TD Cowen, here's why",130736245,,UNP,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=7eb7194c3fabad7320aa59b2004079688fbda803e39ad579d2cc45063b87ae96
company,1729841400,3 Of My Favourite Dividend Stocks That Just Keep Winning,130719307,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1050996438/image_1050996438.jpg?io=getty-c-w1536,UNP,SeekingAlpha,Read here for three stocks that have consistently performed well and continue to impress with their earnings. They also offer long-term dividend growth potential.,https://finnhub.io/api/news?id=6262c1af8f48e4da1942ddafa5b35bbe691ca624627f7e081d527509d021e1ca
company,1729840380,Union Pacific price target lowered to $283 from $288 at RBC Capital,130736246,,UNP,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=79700d9e8219a90baf811b83c4de46ccaffd8f0e9e8f5f2ea7e406a6bf6c148b
company,1729840296,Union Pacific Corp (UNP) Q3 2024 Earnings Call Highlights: Strong Financial Performance Amid ...,130739974,https://media.zenfs.com/en/us.finance.gurufocus/4ba4593e38fbab45bdb24d44ff327573,UNP,Yahoo,"Union Pacific Corp (UNP) reports a 9% increase in net income and improved operational efficiency, despite facing revenue pressures from business mix and fuel costs.",https://finnhub.io/api/news?id=c6ffe0327c64045b8a389ea45c22e0fab1869308af240b4d340fef3ffda8cc6f
company,1729839960,"Union Pacific price target lowered by $5 at RBC Capital, here's why",130736247,,UNP,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=136a31c739e03e189f2aa34d23d6c2ebffe246a1469a9e69469191467879d7db
company,1729839840,Union Pacific (UNP) Receives a Rating Update from a Top Analyst,130736248,,UNP,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=5f9feb38455ae8cf0203d452a78a6d5d51ccb6ade763d63baaecfcc00474b221
company,1729839660,Union Pacific price target lowered to $255 from $270 at Wells Fargo,130736249,,UNP,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=249547bb53abd54439117a6861b75a9333a9341b660b576ad9f7aa3b85c67877
company,1729839540,"Union Pacific price target lowered by $15 at Wells Fargo, here's why",130736250,,UNP,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=096174e5150aa12558a16bcc0af8fa1687977388dcb9de8135bbf05e7e86ba0d
