category,datetime,headline,id,image,related,source,summary,url
company,1729880334,"Chinese hackers targeted phones affiliated with Harris campaign, source says",130742353,https://media.zenfs.com/en/reuters-finance.com/36302b93bc887c5cb42b0a0cc050f5a6,VZ,Yahoo,"WASHINGTON (Reuters) -Chinese hackers who tapped into Verizon's system targeted phones used by people affiliated with the campaign of Democratic presidential candidate Kamala Harris, a person familiar with the situation said on Friday.  Republican presidential candidate Donald Trump and his running mate, JD Vance, were also targeted, according to media reports.  The New York Times reported investigators were working to determine what communications, if any, were taken from Trump and Vance.",https://finnhub.io/api/news?id=e5eb417ce21864ba254fc78928cf7b04ae71fb43043d79e524197b14e23e522c
company,1729867181,Frontier Communications asks shareholders to accept Verizon's takeover bid,130723556,https://media.zenfs.com/en/reuters-finance.com/3f9b2b1e8c81ad51c855049b832d9b96,VZ,Yahoo,"The fiber-optic internet provider said Verizon's final offer presents ""a superior value over all other potential paths, including Frontier's ambitious standalone plan.""  Verizon agreed in September to acquire Frontier as the U.S. telecom giant looks to build its fiber subscriber base and better compete with rivals such as AT&T.  However, some Frontier investors are concerned about the deal stating Verizon's $38.50 per share offer is too low, according to a Reuters report.",https://finnhub.io/api/news?id=14c92a0b30d832be2a1766f82cb51b0cba61a4669390f5799cad17d309b2ed46
company,1729866915,"Verizon Targets 'Convergence' With Wireless Broadband, Frontier Deal. Is VZ Stock A Buy?",130723559,https://media.zenfs.com/en/ibd.com/1d77bedc480d1c0b1c2af1053d67cd6e,VZ,Yahoo,"Verizon stock has gained 12% in 2024 versus the S&P 500's 22% gain. Telecom rival AT&T has out-performed Verizon, gaining 32% this year.",https://finnhub.io/api/news?id=351460011a995f02024e131f752d4ea46fe7a53fb2a267b48d211bef801e3dc0
company,1729865934,"Chinese hackers targeted phones used by Trump and Vance, New York Times reports",130727645,,VZ,Finnhub,"Chinese hackers who tapped into Verizon's system targeted phones used by Donald Trump and his running mate JD Vance, the New York Times reported on Friday, citing people familiar. ...",https://finnhub.io/api/news?id=9be255a7ddeb4a1abd906d0ea96e7ad1071e45a5d1602b631a9f16df4bb7e348
company,1729864800,Verizon: Buy This Dip For Richer Dividend Yield,130727281,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289941019/image_1289941019.jpg?io=getty-c-w1536,VZ,SeekingAlpha,"Verizon remains a compelling buy due to its increasingly richer dividend yields, thanks to the market's overreaction to the top line FQ3'24 miss. Learn more on VZ stock here.",https://finnhub.io/api/news?id=fa22a3538bbf960cb0c83305854a0e037296a5cdd35a8da341cda6db5399f7dd
company,1729861842,Verizon launches Verizon Family app,130723562,https://media.zenfs.com/en/tipranks_452/68fb8558c138149953f66ded9010869c,VZ,Yahoo,"Verizon (VZ) announced the launch of a brand new app, Verizon Family, a digital service that helps families stay connected and safe. The company said, “With Verizon Family, you can monitor your family’s location, set up new features, like Safe Walk with an SOS button to contact a family member in an emergency, and even keep an eye on your children’s Verizon calls and texts.” Published first on TheFly – the ultimate source for real-time, market-moving breaking financial news. Try Now>> See today’",https://finnhub.io/api/news?id=3bd3abe3773b79f55860de55b9456b416c344e0ac7840072b8f67156669562fc
company,1729860288,Verizon Communications Third Quarter 2024 Earnings: EPS Misses Expectations,130723564,https://media.zenfs.com/en/simply_wall_st__316/78a8c60a6283aea0450523395306d38c,VZ,Yahoo,Verizon Communications ( NYSE:VZ ) Third Quarter 2024 Results Key Financial Results Revenue: US$33.3b (flat on 3Q...,https://finnhub.io/api/news?id=97dad4ef2c0246c0d57e2016b01641415f340ad50f24f1ce8a3559d3305f8265
company,1729859940,7 Communication Services Stocks With Whale Alerts In Today's Session,130726706,,VZ,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=47bd6bab2b950ebc471fb560abfd7a8978796a5d421b76cc927ce90db250a64d
company,1729856700,"AT&T Continues to See Subscriber Momentum, but Is It Time to Switch to Verizon Stock?",130723566,https://g.foolcdn.com/editorial/images/795084/gettyimages-472706058.jpg,VZ,Yahoo,AT&T's stock has greatly outperformed rival Verizon this year.,https://finnhub.io/api/news?id=f4343cca7c1e94d870eb2c0e4d1b7795e488e2aeaf3f0665a561dad62d5862ae
company,1729854120,Decoding Verizon Communications Inc (VZ): A Strategic SWOT Insight,130750526,,VZ,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=57a98c1846dfcc503007abf590022b8c0934cb6e5a23f6afcf6c8fb560dbde83
company,1729849883,Frontier Communications Says Verizon Deal Best Option for Stakeholders,130720891,,VZ,Finnhub,By Adriano Marchese Frontier Communications said that premium Verizon Communications' offer is the best option for stockholders and recommends they vote for the transaction. The...,https://finnhub.io/api/news?id=256b502be59ee06f7a993ff178d520e164537d98289e82dce776d426ee6d26aa
company,1729846800,Verizon: Rally Can Extend Further,130720520,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1692303053/image_1692303053.jpg?io=getty-c-w1536,VZ,SeekingAlpha,"Read here for an analysis of Verizon's stock performance, earnings report, and growth outlook, suggesting potential gains with mean reversion strategies.",https://finnhub.io/api/news?id=d19a28648156f6ab6e564375a1294ca188aa5fcbfc0853b5f6037e8112c26cce
company,1729838513,AT&T: A No-Brainer Buy With A 5% Dividend Yield,130718638,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/155095389/image_155095389.jpg?io=getty-c-w1536,VZ,SeekingAlpha,"AT&T submitted a solid earnings sheet for Q3 and showed decent subscriber momentum, growth in ARPU, and strong free cash flow. See why T stock is a Buy.",https://finnhub.io/api/news?id=5044e22f1da64cd1facf1cfcc8acee087cc3f0a1dd485877ff500bd05c682bd5
company,1729837620,Apple dips after KeyBanc cuts rating on iPhone sale concerns,130726900,,VZ,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=1497edcbfd1d53ae7158bdbda5f194ea5c5d1c2a013fc463d9c863625f0fb27e
company,1729823460,Trump's campaign notified of a Chinese hack targeting their phones - NYT,130731485,,VZ,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=437d31a27eb3634859dd6c347100f83c3cf848eada0bce0b097b0ec397644a7e
