category,datetime,headline,id,image,related,source,summary,url
company,1729895703,Walmart maintains the upper hand as it battles Target for Americans' wallets,130737891,https://s.yimg.com/ny/api/res/1.2/ANEVOzMtPBLXqt0pnkqleA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/os/creatr-uploaded-images/2024-10/467b8910-9096-11ef-bedb-0169181f4cc5,WMT,Yahoo,Walmart continues to lure in Americans with its low value. That's expected to continue into the holiday season.,https://finnhub.io/api/news?id=8966020386d4ca8db39c07fd373d86669437faf08e82181ace16865ba0720f51
company,1729891800,Best Stock to Buy Right Now: Walmart vs. Dollar General,130744405,https://g.foolcdn.com/editorial/images/794831/walmart-versus-dollar-general-stock-outlook-2025.jpg,WMT,Yahoo,It's a battle between a big stock market winner and a potential turnaround opportunity.,https://finnhub.io/api/news?id=7b26b8175a566a404727d90f5fdfd99be58db952072fb2ebbb0c40c841fc30a5
company,1729891746,Walmart is outperforming Target this year. Here's why.,130737892,https://s.yimg.com/ny/api/res/1.2/znwjBxts6AN7MYdOoLkpCw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzY-/https://s.yimg.com/os/creatr-uploaded-images/2024-10/5df6a1f0-9317-11ef-ab4d-db78b44ca6c9,WMT,Yahoo,"Walmart (WMT) and Target (TGT) have been fiercely competing for US consumers' dollars. Walmart has been winning this battle so far this year, especially on Wall Street, where the retail giant's stock is up 57% year to date, while Target's is up only 6%. But the reason for that gain may surprise you. In the video above, Yahoo Finance Senior Reporter Brooke DiPalma explains how Walmart has gained the upper hand. To watch more expert insights and analysis on the latest market action, check out more Asking for a Trend here. This post was written by Stephanie Mikulich.",https://finnhub.io/api/news?id=aba40c6479e334245f9c87e34544291327799224ac02c32f7c3f40c09e7b4dea
company,1729884981,Chipotle's secret to growth: How it invests in workers,130733332,https://s.yimg.com/ny/api/res/1.2/KAZNfVUHBRxgUyoF_uY8PA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2023-01/d805f610-9848-11ed-b79e-e2293a718dca,WMT,Yahoo,Chipotle's investments in employees seem to be paying off.,https://finnhub.io/api/news?id=dfbf46f0741313a62b3a7cafa37aff13b5630b4d2e26ad7e313b746c7a480b4a
company,1729878693,Amazon isn't the only retailer offering gas discounts. Here are others,130729868,https://media.zenfs.com/en/quartz.com/a9a57281ede6ab44c0a8aff12bfe4ceb,WMT,Yahoo,"Deals at the pump are an increasingly popular perk in retail. Amazon (AMZN) recently announced that Prime members can get a discount of $0.10 per gallon at roughly 7,000 gas stations affiliated with BP (BP), including Amoco and Ampm. However, Amazon isn’t the only retailer offering fuel discounts – Walmart (WMT) and Kroger (KR) also provide their loyalty members perks at the pump.",https://finnhub.io/api/news?id=c60f440bec1655f94d23970acff17087d32d6140b864e171dd7e457e195c0342
company,1729868160,Walmart Stock Up 19% in 3 Months: What's the Best Move for Investors?,130744409,https://media.zenfs.com/en/zacks.com/bbcf3e07e826aabe52cbb2f648142720,WMT,Yahoo,Walmart continues to demonstrate strength through its diversified operations and effective omnichannel strategy amid a dynamic landscape.,https://finnhub.io/api/news?id=af5b361506e4657e5a3ce3b4c716df33525ed0d090b9601fe04416a481752cfe
company,1729860833,"Consumers reach their breaking point, forcing retailers to shutter stores at a worrying pace",130725478,"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-1205050191.jpg?c=16x9&q=w_800,c_fill",WMT,Yahoo,Family Dollar has announced 677 store closings this year. Walgreens is closing 259. Big Lots is closing 360. LL Flooring is shutting down entirely.,https://finnhub.io/api/news?id=99594a347978053cc0d6e060ffbbde02822d02ad2279729ebe49c1daa7c591e7
company,1729859126,Q3 2024 Capital One Financial Corp Earnings Call,130720168,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,WMT,Yahoo,Q3 2024 Capital One Financial Corp Earnings Call,https://finnhub.io/api/news?id=2bfa2a1aaa82525921f7512a91ddd810b2a604a71d361e688a969ff123cd3bff
company,1729855711,Why Investors Were Bailing Out of Walgreens Boots Alliance This Week,130721423,https://g.foolcdn.com/editorial/images/795304/person-checking-medicine-on-a-shelf-in-a-pharmacy.jpg,WMT,Yahoo,Shareholders were spooked about a new threat to the company's core business; a fresh dividend declaration didn't help.,https://finnhub.io/api/news?id=35322f07d2af0121ac3e1f9c01dcf412a2e31667612e7e2e4be01c51b2eafbed
company,1729848418,Target: This Dividend King Is On Sale Yielding Around 3%,130720668,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810162/image_1445810162.jpg?io=getty-c-w1536,WMT,SeekingAlpha,"Discover why Target (TGT) is a compelling investment opportunity with strong financials, growth in physical retail, and superior income potential.",https://finnhub.io/api/news?id=e40ca7d9a841bf0f7babba5d7f61a80d0fd33e5f40db53bc06a1ab0167da1951
company,1729847533,WeWork Bankruptcy's Increasing Impact On A Beleaguered Commercial Real Estate Sector,130720592,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2149687079/image_2149687079.jpg?io=getty-c-w1536,WMT,SeekingAlpha,"Learn about the challenges facing the commercial real estate industry, from rising vacancy rates to bankruptcies like WeWork, in this article. Click for more.",https://finnhub.io/api/news?id=cd24a6d20a1fab7ba2f6687a6d28b4f04a48c8da4b04c5ae5ba4b51a362bf749
