category,datetime,headline,id,image,related,source,summary,url
company,1729880337,"Amazon, Alphabet, And Apple Headline Big Earnings Week For Tech",130735624,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,XOM,SeekingAlpha,"Stay informed with Seeking Alpha's Wall Street Week Ahead for a preview of upcoming market events, earnings reports, and investor days.",https://finnhub.io/api/news?id=8d88b8b1f4345f074262dcc8464e46d0688064ced09f151d54054c3703663cdf
company,1729879680,Hess Corporation to Report Q3 Earnings: What to Expect?,130733452,https://media.zenfs.com/en/zacks.com/da1cc2937151608132faf750d8c8c588,XOM,Yahoo,HES' Q3 earnings are likely to have been affected by a drop in crude prices and an increase in input costs.,https://finnhub.io/api/news?id=34b0fb9918b35e273b85bd0ff82a20a1eb018a223e3b605f94510c14b0f49a1b
company,1729874100,"ExxonMobil, QatarEnergy Secure Extension for Golden Pass LNG Project",130726976,https://media.zenfs.com/en/zacks.com/b81ac34444d94825c1ca7ea33d2f8831,XOM,Yahoo,"XOM secures a 3-year extension for the Golden Pass LNG project, aiming to overcome delays and complete the Texas facility by the end of 2025 despite contractor bankruptcy challenges.",https://finnhub.io/api/news?id=31ae66186e5dc7641185728e3cd2bf6716888a09445256cf3884ac1ee3497da1
company,1729870478,"Stocks to watch this week: BP, Shell, Uber, HSBC and Intel",130772190,https://s.yimg.com/ny/api/res/1.2/lmGJ1EjrFhBEbPCAFeD8AA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2024-10/e2cf0220-92e8-11ef-bece-e7934d5a2ec7,XOM,Yahoo,Earnings preview of key companies reporting this week and what to look out for.,https://finnhub.io/api/news?id=f3a7861825cae1949625d229883be87a61891618f6fa147c7e0c7bed20357368
company,1729870478,"Stocks to watch next week: BP, Shell, Uber, HSBC and Intel",130722189,https://s.yimg.com/ny/api/res/1.2/RhNbxPGcEGqrDM0SQ56kIg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2024-10/f1a31280-881d-11ef-9e7f-282211d38ce8,XOM,Yahoo,Earnings preview of key companies reporting next week and what to look out for.,https://finnhub.io/api/news?id=614894060a427a02efa7c46e1810fb7f3befb60b288e4444700b95277776ab0a
company,1729866653,"Undercovered Dozen: CorMedix, Cabaletta, Skyx Platforms, Dynex Capital +",130728378,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/155717073/image_155717073.jpg?io=getty-c-w1536,XOM,SeekingAlpha,"Discover 12 undercovered stocks for fresh investment ideas, including Nebius Group, ASP Isotopes, and Alliance Resource Partners.",https://finnhub.io/api/news?id=356a1f6c6b753c4eaa0103894569176119c03f126a93c8a8f89edb50b0ada06a
company,1729864831,Exxon Mobil (XOM) Expected to Beat Earnings Estimates: Can the Stock Move Higher?,130728821,https://media.zenfs.com/en/zacks.com/737ffb82e07dc8bffb77e72d153c91f2,XOM,Yahoo,Exxon (XOM) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,https://finnhub.io/api/news?id=bc208b19a2e69ac534703a217912e2546599331da4d262418317600eaaccb27a
company,1729858860,Tech Stocks Rally As Investors Await Magnificent 7 Earnings; Dollar Eyes Fourth Straight Positive Week: What's Driving Markets Friday?,130725295,,XOM,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=6d2f0ea64e136932493c23dde0de04f74f83013678e27e49351e92fcb51e3653
company,1729857060,Coterra Energy Q3 Earnings on Deck: Here's How It Will Fare,130720949,https://media.zenfs.com/en/zacks.com/dbdf41163a65daa07a00a256aac43435,XOM,Yahoo,Weakness in natural gas production and prices is likely to have impacted the third-quarter earnings of CTRA.,https://finnhub.io/api/news?id=e93664551e3d49663c9fe5755aca4591a6f95a6380172986b909aa5abedbe190
company,1729848689,Exxon and Qatar Energy JV granted three-year extension for Texas LNG plant,130718250,https://www.offshore-technology.com/wp-content/uploads/sites/20/2024/10/E-xxon-and-Qatar-Energy-JV-granted-three-year-extension-for-Texas-LNG-plant-shutterstock_2135816073-3.jpg,XOM,Yahoo,The joint venture (JV) requested an extension to complete and launch its Golden Pass LNG plant project in Texas by 30 November 2029.,https://finnhub.io/api/news?id=a3481ccd040ed340956c2ead7fd1769f13268b44a52978caea08f5261bd6b1ee
company,1729845600,3 Sweet Dividend Stocks to Treat Your Portfolio With This Halloween,130718251,https://g.foolcdn.com/editorial/images/794670/a-happy-person-holding-money-in-front-of-their-computer.jpg,XOM,Yahoo,There are more reasons to buy these stocks besides their high payouts.,https://finnhub.io/api/news?id=cf2a876be34f9d1d274daffa703b3ad5b268e68cb3c5e93bc2d36f8ff4d715ce
company,1729821720,"Catalyst Watch: Eyes on tech with Apple, Amazon, Alphabet, and Meta reporting",130729385,,XOM,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=f171f66dc36dac994e24110fa7ada357da304305543769d90b2420900103e743
company,1729820820,Exxon Mobil's Golden Pass LNG Plant Gets 3-Year Extension Amid Contractor Challenges: Report,130736525,,XOM,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=89493339ddfb044957b84e94085d5289764d42300637b4ad1d021c350b8ee67d
company,1729820820,Exxon Mobil Unusual Options Activity,130751033,,XOM,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=a770590834c45e8b276fa5440f7359ba711fe858d36d5a482fb24ef5f22fd0e1
